Date,Currency,Pair,Open,High,Low,Close,Volume
2024-07-08 00:00:00+01:00,SGD,SGD/USD,0.7414437532424927,0.7421701550483704,0.7409108877182007,0.7414437532424927,0
2024-07-09 00:00:00+01:00,SGD,SGD/USD,0.7410151958465576,0.7412898540496826,0.7398967146873474,0.7410151958465576,0
2024-07-10 00:00:00+01:00,SGD,SGD/USD,0.740395188331604,0.7419498562812805,0.740115761756897,0.740395188331604,0
2024-07-11 00:00:00+01:00,SGD,SGD/USD,0.7414602041244507,0.745595395565033,0.7414547204971313,0.7414602041244507,0
2024-07-12 00:00:00+01:00,SGD,SGD/USD,0.7450621128082275,0.7462129592895508,0.7438871264457703,0.7450621128082275,0
2024-07-15 00:00:00+01:00,SGD,SGD/USD,0.7446016073226929,0.7457677721977234,0.7444519996643066,0.7446016073226929,0
2024-07-16 00:00:00+01:00,SGD,SGD/USD,0.744318962097168,0.744657039642334,0.7430303692817688,0.744318962097168,0
2024-07-17 00:00:00+01:00,SGD,SGD/USD,0.7440476417541504,0.7469375729560852,0.7437875270843506,0.7440476417541504,0
2024-07-18 00:00:00+01:00,SGD,SGD/USD,0.7466586828231812,0.7467702031135559,0.7448678612709045,0.7466586828231812,0
2024-07-19 00:00:00+01:00,SGD,SGD/USD,0.7442581057548523,0.7444353699684143,0.7433452010154724,0.7442581057548523,0
2024-07-22 00:00:00+01:00,SGD,SGD/USD,0.743992269039154,0.7442691326141357,0.742710292339325,0.743992269039154,0
2024-07-23 00:00:00+01:00,SGD,SGD/USD,0.7430082559585571,0.7442137002944946,0.7427213191986084,0.7430082559585571,0
2024-07-24 00:00:00+01:00,SGD,SGD/USD,0.7430524230003357,0.7456565499305725,0.7428592443466187,0.7430524230003357,0
2024-07-25 00:00:00+01:00,SGD,SGD/USD,0.7442137002944946,0.7456398606300354,0.7437321543693542,0.7442137002944946,0
2024-07-26 00:00:00+01:00,SGD,SGD/USD,0.744657039642334,0.7453786730766296,0.7438871264457703,0.744657039642334,0
2024-07-29 00:00:00+01:00,SGD,SGD/USD,0.7446349263191223,0.7459346652030945,0.7436492443084717,0.7446349263191223,0
2024-07-30 00:00:00+01:00,SGD,SGD/USD,0.7445905804634094,0.7448789477348328,0.7431628704071045,0.7445905804634094,0
2024-07-31 00:00:00+01:00,SGD,SGD/USD,0.7452175617218018,0.7485758066177368,0.7444908022880554,0.7452175617218018,0
2024-08-01 00:00:00+01:00,SGD,SGD/USD,0.7486711144447327,0.7493892908096313,0.7471831440925598,0.7486711144447327,0
2024-08-02 00:00:00+01:00,SGD,SGD/USD,0.748077392578125,0.7550589442253113,0.7476859092712402,0.748077392578125,0
2024-08-05 00:00:00+01:00,SGD,SGD/USD,0.7543355226516724,0.7583456039428711,0.7538067698478699,0.7543355226516724,0
2024-08-06 00:00:00+01:00,SGD,SGD/USD,0.7545632123947144,0.7559149861335754,0.7531935572624207,0.7545632123947144,0
2024-08-07 00:00:00+01:00,SGD,SGD/USD,0.7544379830360413,0.7548650503158569,0.7524964213371277,0.7544379830360413,0
