Date,Currency,Pair,Open,High,Low,Close,Volume
2024-07-08 00:00:00+01:00,JPY,JPY/USD,0.006225177086889744,0.0062393927946686745,0.0062070549465715885,0.006225177086889744,0
2024-07-09 00:00:00+01:00,JPY,JPY/USD,0.006216702051460743,0.0062209563329815865,0.006192142143845558,0.006216702051460743,0
2024-07-10 00:00:00+01:00,JPY,JPY/USD,0.006198436953127384,0.006199628114700317,0.006182762328535318,0.006198436953127384,0
2024-07-11 00:00:00+01:00,JPY,JPY/USD,0.006187851075083017,0.006349649745970964,0.006182495038956404,0.006187851075083017,0
2024-07-12 00:00:00+01:00,JPY,JPY/USD,0.006321072578430176,0.0063540879637002945,0.006274470128118992,0.006321072578430176,0
2024-07-15 00:00:00+01:00,JPY,JPY/USD,0.006316600367426872,0.006338983774185181,0.006314805708825588,0.006316600367426872,0
2024-07-16 00:00:00+01:00,JPY,JPY/USD,0.006323470734059811,0.0063245901837944984,0.006295603699982166,0.006323470734059811,0
2024-07-17 00:00:00+01:00,JPY,JPY/USD,0.006315124686807394,0.006405329331755638,0.00630604475736618,0.006315124686807394,0
2024-07-18 00:00:00+01:00,JPY,JPY/USD,0.006423185113817453,0.006430992390960455,0.006370035465806723,0.006423185113817453,0
2024-07-19 00:00:00+01:00,JPY,JPY/USD,0.006363347172737122,0.00637031951919198,0.00633492786437273,0.006363347172737122,0
2024-07-22 00:00:00+01:00,JPY,JPY/USD,0.0063523524440824986,0.006397993769496679,0.006344976369291544,0.0063523524440824986,0
2024-07-23 00:00:00+01:00,JPY,JPY/USD,0.0063738515600562096,0.006417290773242712,0.006373364478349686,0.0063738515600562096,0
2024-07-24 00:00:00+01:00,JPY,JPY/USD,0.006419803481549025,0.00653120968490839,0.006411201320588589,0.006419803481549025,0
2024-07-25 00:00:00+01:00,JPY,JPY/USD,0.0064981053583323956,0.00658037606626749,0.006487145554274321,0.0064981053583323956,0
2024-07-26 00:00:00+01:00,JPY,JPY/USD,0.006506307516247034,0.006524774711579084,0.0064628287218511105,0.006506307516247034,0
2024-07-29 00:00:00+01:00,JPY,JPY/USD,0.006487650331109762,0.006533257197588682,0.006479327566921711,0.006487650331109762,0
2024-07-30 00:00:00+01:00,JPY,JPY/USD,0.006500556133687496,0.006508043501526117,0.006443714257329702,0.006500556133687496,0
2024-07-31 00:00:00+01:00,JPY,JPY/USD,0.006550075486302376,0.006681633647531271,0.006511222571134567,0.006550075486302376,0
2024-08-01 00:00:00+01:00,JPY,JPY/USD,0.00667806388810277,0.0067337797954678535,0.0066287945955991745,0.00667806388810277,0
2024-08-02 00:00:00+01:00,JPY,JPY/USD,0.006702367682009935,0.0068294815719127655,0.006677171681076288,0.006702367682009935,0
2024-08-05 00:00:00+01:00,JPY,JPY/USD,0.006868886761367321,0.007057311944663525,0.0068531641736626625,0.006868886761367321,0
2024-08-06 00:00:00+01:00,JPY,JPY/USD,0.006859181448817253,0.006941407453268766,0.006837279535830021,0.006859181448817253,0
